latency(lag),total size,packet,time_stamp,err_rate
5296,37841730412,100000032,31451.53,0
5296,37842504307,100000032,31467.87,0
5297,37841179080,100000032,31484.19,0
5298,37843324697,100000032,31500.53,0
5298,37843731680,100000032,31516.87,0
5297,37844701275,100000032,31533.21,0
5296,37842539791,100000032,31549.55,0
5296,37843324963,100000032,31565.88,0
5296,37845931336,100000032,31582.22,0
5296,37844141805,100000032,31598.56,0
5296,37842851350,100000032,31614.89,0
5295,37845334288,100000032,31631.23,0
5296,37843702326,100000032,31647.56,0
5295,37842738051,100000032,31663.89,0
5295,37845334652,100000032,31680.23,0
5294,37843378101,100000032,31696.56,0
5296,37845692986,100000032,31712.90,0
5297,37846835288,100000032,31729.25,0
5295,37842669844,100000032,31745.58,0
5294,37841398242,100000032,31761.91,0
5296,37844234144,100000032,31778.25,0
5296,37842473677,100000032,31794.59,0
5296,37842524338,100000032,31810.92,0
5294,37843262249,100000032,31827.25,0
5295,37843714466,100000032,31843.59,0
5295,37841434085,100000032,31859.93,0
5295,37841720470,100000032,31876.26,0
5298,37845753735,100000032,31892.60,0
5300,37847543105,100000032,31908.94,0
5296,37841296086,100000032,31925.27,0
5295,37840238427,100000032,31941.61,0
5296,37843181464,100000032,31957.94,0
5298,37842571291,100000032,31974.28,0
5299,37844222324,100000032,31990.61,0
5301,37848049581,100000032,32006.96,0
5303,37847136899,100000032,32023.30,0
5299,37844389856,100000032,32039.64,0
5296,37842411641,100000032,32055.97,0
5295,37839810415,100000032,32072.30,0
5296,37838935614,100000032,32088.63,0
5298,37840702167,100000032,32104.97,0
5298,37846250762,100000032,32121.31,0
5297,37843005644,100000032,32137.65,0
5295,37842179328,100000032,32153.98,0
5296,37846259002,100000032,32170.32,0
5296,37843464767,100000032,32186.65,0
5296,37841960797,100000032,32202.98,0
5297,37845303493,100000032,32219.33,0
5296,37844159816,100000032,32235.66,0
5294,37840542353,100000032,32251.99,0
5294,37842255744,100000032,32268.32,0
5295,37845121331,100000032,32284.66,0
5297,37847167585,100000032,32301.00,0
5296,37845177603,100000032,32317.34,0
5296,37847718991,100000032,32333.68,0
5295,37845267812,100000032,32350.01,0
5295,37842732712,100000032,32366.36,0
5294,37841994219,100000032,32382.68,0
5295,37842713611,100000032,32399.02,0
5295,37843074959,100000032,32415.35,0
5294,37840844478,100000032,32431.69,0
5295,37843595727,100000032,32448.03,0
5295,37843400020,100000032,32464.36,0
5296,37841144241,100000032,32480.69,0
5298,37843558796,100000032,32497.03,0
5300,37849409827,100000032,32513.38,0
5298,37842645051,100000032,32529.71,0
5295,37839602671,100000032,32546.04,0
5295,37839934545,100000032,32562.37,0
5296,37841222010,100000032,32578.70,0
5299,37842130190,100000032,32595.04,0
5303,37850716320,100000032,32611.39,0
5300,37843472812,100000032,32627.72,0
5298,37844917611,100000032,32644.06,0
5296,37842743703,100000032,32660.39,0
5295,37839587576,100000032,32676.73,0
5294,37838345379,100000032,32693.05,0
5295,37838610430,100000032,32709.38,0
5297,37842617915,100000032,32725.72,0
5297,37842858507,100000032,32742.06,0
5295,37842251824,100000032,32758.39,0
5294,37839552842,100000032,32774.73,0
5294,37843788962,100000032,32791.06,0
5295,37844730489,100000032,32807.40,0
5296,37844525436,100000032,32823.74,0
5297,37846076707,100000032,32840.07,0
5296,37843907075,100000032,32856.41,0
5295,37841444175,100000032,32872.74,0
5295,37844337616,100000032,32889.07,0
5296,37845567067,100000032,32905.41,0
5297,37846274081,100000032,32921.75,0
5296,37846226283,100000032,32938.10,0
5296,37846302099,100000032,32954.44,0
5295,37845825879,100000032,32970.78,0
5296,37843514751,100000032,32987.10,0
5295,37843186516,100000032,33003.45,0
5296,37844395546,100000032,33019.78,0
5296,37842496812,100000032,33036.11,0
5295,37843066223,100000032,33052.45,0
5295,37844149664,100000032,33068.79,0
5295,37841801222,100000032,33085.12,0
5298,37844517049,100000032,33101.45,0
5298,37844491751,100000032,33117.79,0
5297,37841314432,100000032,33134.13,0
5295,37838225400,100000032,33150.45,0
5295,37836504909,100000032,33166.78,0
5296,37840855975,100000032,33183.11,0
5299,37844557387,100000032,33199.45,0
5301,37845977684,100000032,33215.80,0
5298,37841854194,100000032,33232.13,0
5296,37841416960,100000032,33248.46,0
5295,37839380388,100000032,33264.80,0
5296,37840113906,100000032,33281.13,0
5296,37840241194,100000032,33297.45,0
5298,37842239163,100000032,33313.79,0
5298,37845018456,100000032,33330.12,0
5297,37841829252,100000032,33346.46,0
5295,37843079350,100000032,33362.80,0
5296,37844157625,100000032,33379.14,0
5297,37846312335,100000032,33395.48,0
5297,37844174700,100000032,33411.81,0
5297,37846910365,100000032,33428.15,0
5296,37844423609,100000032,33444.49,0
5295,37843057236,100000032,33460.82,0
5294,37844171170,100000032,33477.16,0
5296,37847258323,100000032,33493.49,0
5297,37847639178,100000032,33509.83,0
5296,37844014459,100000032,33526.17,0
5296,37845879883,100000032,33542.51,0
5295,37844342876,100000032,33558.85,0
5295,37840836557,100000032,33575.18,0
5296,37844155195,100000032,33591.52,0
5296,37843949921,100000032,33607.85,0
5296,37843260841,100000032,33624.19,0
5296,37843605385,100000032,33640.52,0
5312,37881303517,100000032,33656.90,0
5297,37845871676,100000032,33673.25,0
5298,37845145889,100000032,33689.58,0
5301,37850237361,100000032,33705.92,0
5299,37846337103,100000032,33722.26,0
5297,37840612941,100000032,33738.60,0
5298,37843099421,100000032,33754.93,0
5295,37838448911,100000032,33771.26,0
5296,37840291948,100000032,33787.59,0
5298,37844892165,100000032,33803.93,0
5300,37844724290,100000032,33820.27,0
5299,37842890352,100000032,33836.61,0
5299,37844050790,100000032,33852.94,0
5297,37840964672,100000032,33869.28,0
5296,37840497528,100000032,33885.61,0
5297,37839510598,100000032,33901.94,0
5298,37842725122,100000032,33918.28,0
5299,37846494166,100000032,33934.61,0
5299,37847135537,100000032,33950.95,0
5297,37841720233,100000032,33967.29,0
5296,37843340520,100000032,33983.62,0
5297,37843716954,100000032,33999.96,0
5297,37845796617,100000032,34016.30,0
5297,37842261265,100000032,34032.63,0
5297,37844843003,100000032,34048.98,0
5297,37844199668,100000032,34065.30,0
5295,37842301583,100000032,34081.64,0
5295,37845833419,100000032,34097.98,0
5296,37846770578,100000032,34114.32,0
5296,37843634694,100000032,34130.66,0
5296,37844727994,100000032,34146.99,0
5296,37846028288,100000032,34163.33,0
5294,37840689483,100000032,34179.66,0
5295,37842386330,100000032,34195.99,0
5295,37843010185,100000032,34212.33,0
5295,37840997181,100000032,34228.66,0
5294,37841687593,100000032,34244.99,0
5295,37842910020,100000032,34261.33,0
5294,37842982963,100000032,34277.66,0
5296,37841291878,100000032,34294.00,0
5299,37846090657,100000032,34310.34,0
5297,37842161661,100000032,34326.67,0
5296,37840887651,100000032,34343.01,0
5296,37840890997,100000032,34359.34,0
5295,37841670350,100000032,34375.67,0
5295,37839268998,100000032,34392.00,0
5297,37843188679,100000032,34408.33,0
5298,37843243756,100000032,34424.67,0
5300,37843810626,100000032,34441.01,0
5299,37844694978,100000032,34457.35,0
5297,37840147179,100000032,34473.68,0
5294,37838004577,100000032,34490.01,0
5294,37838283080,100000032,34506.34,0
5295,37839896750,100000032,34522.67,0
5297,37842467195,100000032,34539.00,0
5297,37842988104,100000032,34555.34,0
