latency(lag),total size,packet,time_stamp,err_count,success_count
3877,37609678721,100000008,16605.13,812928,98731033
3877,37610547249,100000004,16637.25,812928,98731000
3877,37610601903,100000004,16669.36,812928,98731074
3877,37610187835,100000004,16701.48,812887,98731087
3877,37610345721,100000004,16733.61,812855,98731143
3877,37609775605,100000004,16765.72,811462,98732511
3877,37609815493,100000008,16797.84,812172,98731810
3877,37609983451,100000004,16829.95,812928,98731005
3877,37610639640,100000008,16862.08,812928,98731020
3877,37610330771,100000008,16894.19,812923,98731064
3876,37610229488,100000016,16926.31,812878,98731148
3875,37610255832,100000004,16958.43,812728,98731261
3876,37609882556,100000004,16990.55,810936,98733020
3877,37609754299,100000004,17022.67,812839,98731139
3877,37610429837,100000004,17054.78,812928,98731003
3877,37610327245,100000004,17086.90,812928,98731040
3878,37610100006,100000004,17119.01,812915,98731053
3877,37610397555,100000016,17151.14,812869,98731164
3877,37610109585,100000004,17183.26,812193,98731783
3877,37609885921,100000004,17215.37,811399,98732578
3878,37609680739,100000012,17247.49,812928,98731041
3877,37610596083,100000004,17279.61,812928,98731000
3877,37610521193,100000008,17311.72,812928,98731069
3876,37610140557,100000004,17343.84,812898,98731074
3875,37610392316,100000004,17375.96,812848,98731155
3875,37609799521,100000008,17408.08,811554,98732428
3876,37609816649,100000004,17440.20,812076,98731893
3877,37609919379,100000004,17472.31,812928,98731015
3877,37610596457,100000008,17504.42,812928,98731013
3877,37610310002,100000004,17536.54,812928,98731057
3877,37610394093,100000004,17568.66,812873,98731139
3879,37610128188,100000016,17600.79,812792,98731207
3884,37609996741,100000004,17632.91,810979,98732982
3885,37609794694,100000004,17665.02,812732,98731247
3885,37610275236,100000008,17697.14,812928,98731011
3885,37610469895,100000004,17729.25,812928,98731035
3883,37610002179,100000012,17761.37,812917,98731051
3883,37610347800,100000012,17793.49,812874,98731162
3885,37610228876,100000004,17825.61,812281,98731695
3883,37609908723,100000008,17857.73,811304,98732681
3884,37609613358,100000012,17889.85,812928,98731034
3885,37610567953,100000004,17921.96,812928,98730997
3885,37610465788,100000012,17954.08,812928,98731079
3885,37610325061,100000004,17986.20,812898,98731069
3885,37610215818,100000004,18018.32,812854,98731154
3885,37609870525,100000004,18050.43,811651,98732325
3884,37609891884,100000016,18082.55,811973,98732006
3886,37609877130,100000004,18114.67,812928,98731024
3886,37610521629,100000004,18146.79,812928,98730996
3885,37610559841,100000008,18178.91,812928,98731073
3885,37610256204,100000004,18211.02,812873,98731135
3884,37610088054,100000008,18243.14,812837,98731149
3885,37610063254,100000008,18275.26,811026,98732944
3884,37609770419,100000004,18307.38,812640,98731339
3884,37610121199,100000004,18339.49,812928,98731008
